A,C,B
0,73,82
1,81,40
0,75,82
1,44,43
0,75,70
1,90,11
0,95,70
0,89,76
0,77,81
0,58,62
0,47,74
0,86,87
1,56,17
1,93,33
0,74,65
1,40,5
1,68,29
0,88,64
1,14,13
1,49,44
0,96,65
1,23,11
0,94,82
1,17,23
0,89,75
1,14,12
0,98,84
1,61,16
1,32,28
0,86,74
0,64,77
1,0,14
1,34,23
1,33,31
0,66,78
0,99,79
1,20,37
0,60,63
0,64,67
1,23,26
1,16,17
1,37,25
1,55,34
1,37,11
1,43,10
1,19,30
0,53,77
1,18,18
1,67,30
0,66,68
0,67,78
1,63,32
1,35,37
1,94,14
1,12,27
1,84,17
0,62,78
0,95,57
0,45,74
0,43,73
1,16,13
1,45,38
1,36,33
1,86,20
1,27,6
0,62,77
1,46,31
1,44,38
0,79,81
1,75,30
0,91,62
1,75,56
1,19,17
1,23,16
1,38,29
1,1,11
1,54,30
1,64,33
0,64,62
0,80,83
0,86,61
1,54,30
0,74,82
1,77,8
0,94,81
0,69,91
1,50,37
1,68,20
1,31,29
1,24,29
1,35,2
0,86,74
1,84,18
1,89,19
1,20,12
0,94,78
1,0,5
0,91,70
0,76,77
1,54,34
1,74,34
0,57,86
1,42,24
1,44,41
0,58,69
0,57,74
1,27,23
1,52,9
1,37,34
0,91,73
1,72,13
1,9,8
1,46,20
0,68,71
1,38,15
0,63,78
0,96,75
1,46,44
0,87,91
0,92,86
0,88,80
1,73,35
1,33,21
1,50,32
1,58,36
0,88,76
0,84,76
0,81,74
1,57,17
1,47,36
1,57,27
0,71,72
1,64,22
1,1,22
1,45,35
0,65,71
0,36,69
1,68,33
0,90,83
1,76,54
1,16,25
0,88,82
1,76,27
1,51,20
1,44,23
0,90,63
1,38,28
0,88,73
1,23,15
0,79,81
1,54,37
0,80,77
0,52,74
0,90,76
1,0,10
0,49,71
1,80,15
1,93,41
1,11,12
1,50,33
0,70,89
1,78,14
0,68,80
0,87,77
1,42,24
0,71,65
1,61,31
1,49,38
1,74,31
1,72,32
1,36,26
1,43,24
0,59,81
1,13,1
1,72,15
0,50,70
1,81,13
0,69,80
0,76,84
0,53,68
0,66,83
1,70,34
1,85,39
0,79,76
1,39,32
1,55,44
1,61,26
1,54,3
1,70,34
1,66,38
1,32,23
1,35,34
0,79,84
1,66,41
0,92,71
1,71,32
0,62,77
0,91,74
0,88,87
1,58,34
1,25,29
1,26,11
1,47,28
1,72,8
1,46,34
0,90,91
1,80,45
1,21,9
0,61,71
1,52,33
1,94,43
0,66,69
0,76,99
1,40,36
1,53,19
1,60,23
1,65,34
1,64,16
1,57,40
1,93,27
0,76,73
1,2,6
0,86,76
0,45,71
1,39,27
1,32,30
1,29,15
1,78,35
0,58,71
0,69,72
1,19,13
1,14,16
1,3,10
1,6,3
1,30,34
1,21,3
0,97,80
1,66,34
1,10,10
1,72,28
0,85,81
1,46,12
0,77,76
1,8,11
1,85,14
1,51,15
0,76,78
1,31,28
1,31,31
0,88,71
0,67,72
0,76,80
1,21,15
1,57,24
0,59,60
1,47,28
1,50,34
1,95,20
1,84,42
1,60,16
1,38,24
1,43,30
0,93,80
1,61,33
0,75,74
1,22,19
1,17,11
1,33,22
1,95,25
1,19,11
1,68,1
1,8,22
0,83,79
0,69,73
0,99,84
1,9,5
0,53,87
0,55,77
0,59,87
1,79,38
1,51,22
1,57,25
0,78,88
0,93,75
0,69,59
1,39,1
1,23,14
1,55,29
0,90,90
1,48,6
1,46,24
1,15,19
0,64,71
1,59,16
0,69,74
1,35,22
1,22,24
1,83,39
1,28,17
1,73,40
1,84,11
0,67,79
1,37,26
1,12,18
1,12,17
1,52,37
1,99,37
1,85,29
1,72,28
0,65,72
1,1,18
1,51,37
0,84,64
0,63,74
0,69,75
1,54,18
1,43,39
1,37,19
1,76,35
1,82,34
1,79,30
1,49,23
1,50,22
0,83,73
1,33,23
1,34,34
1,93,37
0,74,75
1,19,24
0,66,74
1,62,28
1,15,17
0,74,85
1,85,31
1,98,13
0,55,71
1,28,30
1,36,31
1,77,39
1,30,52
1,53,16
1,57,37
1,56,13
0,93,63
0,83,69
1,43,26
1,8,8
0,91,76
0,77,79
1,52,19
0,86,72
1,55,17
1,27,38
1,89,17
1,74,28
0,98,66
1,54,30
1,34,22
0,75,83
1,34,19
0,74,86
1,45,44
1,69,38
1,33,22
1,41,24
1,2,18
0,66,76
1,86,29
1,38,39
1,28,10
1,78,51
1,11,23
1,90,33
1,69,32
0,79,73
1,55,39
1,79,37
1,45,16
1,4,3
0,75,78
1,50,18
0,99,92
1,36,16
0,79,82
1,32,11
1,78,2
1,85,34
1,50,28
0,70,71
1,23,32
0,48,73
1,67,26
0,59,61
0,91,72
1,6,22
1,81,18
0,66,79
1,12,26
1,72,14
0,63,72
0,60,69
0,65,71
0,77,76
0,49,84
1,25,34
1,88,12
0,71,74
0,73,64
1,70,23
1,1,16
1,37,11
0,76,80
1,99,11
1,68,34
0,56,70
1,11,16
0,66,77
1,27,35
1,23,18
1,80,3
1,34,15
1,92,13
0,66,67
0,75,86
1,99,20
0,78,80
0,69,75
1,30,27
1,33,37
1,41,29
0,58,77
0,60,83
0,57,74
0,76,86
1,29,21
0,82,77
1,13,34
0,67,92
1,43,24
0,58,70
1,99,20
1,39,51
1,43,28
1,76,14
0,78,67
1,32,25
0,96,83
0,66,72
1,45,50
1,36,42
0,86,84
0,68,77
1,52,32
0,99,78
0,67,75
1,96,34
1,63,12
0,68,61
0,85,84
1,51,41
1,62,46
1,46,28
0,63,76
0,85,69
1,11,22
1,72,36
0,90,66
1,35,22
1,41,23
0,81,83
1,81,35
1,63,39
1,33,12
1,58,33
1,50,29
0,61,69
0,67,76
0,62,74
1,66,19
1,39,43
1,3,10
1,65,46
0,86,83
0,58,88
0,83,73
1,19,14
1,84,34
1,64,45
1,40,31
0,98,90
0,92,72
1,8,16
1,36,40
1,87,32
1,64,37
1,61,33
0,90,58
0,59,62
1,96,28
1,8,20
1,44,30
0,64,66
1,20,15
0,88,81
1,75,36
1,65,47
0,90,72
1,21,29
0,81,88
0,93,68
0,72,62
1,43,21
1,6,25
0,89,76
0,75,76
1,23,14
0,87,73
0,76,81
1,57,30
1,80,42
0,54,83
0,74,78
1,35,42
1,22,38
1,49,39
0,73,83
1,59,35
1,8,9
0,88,82
1,55,20
1,26,25
1,62,21
0,84,74
0,53,70
1,55,48
1,50,20
1,60,19
1,16,5
1,67,24
1,72,28
1,29,16
1,81,41
0,83,74
1,29,20
1,21,12
0,68,81
0,68,66
1,38,21
1,36,45
1,87,30
1,79,29
0,61,80
0,62,87
0,67,88
0,84,82
1,67,35
0,65,67
0,41,68
1,30,21
1,2,31
0,91,96
0,69,68
1,73,15
0,83,72
0,89,90
1,22,27
1,80,40
1,3,1
1,60,25
1,10,13
0,82,79
1,46,0
0,81,75
0,82,83
1,75,19
1,56,37
0,79,78
1,8,11
1,30,46
1,15,17
0,67,77
1,72,32
1,45,26
0,66,83
1,0,27
1,99,51
1,6,10
1,35,13
0,73,78
1,59,27
1,60,47
1,24,17
1,57,29
0,91,81
0,91,76
0,86,61
0,75,78
1,9,23
1,91,24
1,28,22
1,25,21
0,86,78
0,78,64
0,56,75
1,19,25
1,27,17
0,70,81
1,70,50
1,10,21
1,85,19
1,40,50
1,64,16
0,70,86
1,78,31
0,73,74
0,69,78
0,45,74
1,72,30
1,59,20
1,34,26
1,88,27
0,80,73
1,28,27
0,78,70
1,14,5
1,98,21
0,72,91
1,39,28
1,78,30
1,16,4
1,26,24
1,60,29
1,99,35
0,85,76
1,16,34
1,56,34
0,89,66
1,91,30
1,80,36
1,26,32
1,52,10
0,55,72
1,61,44
1,83,31
0,55,76
0,64,84
0,72,74
1,2,18
0,62,82
1,31,9
1,2,29
1,13,20
0,86,79
0,89,77
1,80,55
1,34,41
0,81,83
0,88,70
0,94,74
0,90,73
1,57,10
0,67,95
1,65,14
1,40,17
1,39,28
0,80,79
1,7,34
1,35,8
1,54,24
1,63,24
0,53,81
1,34,39
0,56,72
1,88,17
0,70,72
1,21,48
0,83,69
0,44,76
1,80,39
1,6,8
1,30,30
1,45,24
0,57,73
0,87,86
0,67,81
1,59,46
1,73,55
1,30,20
0,54,67
0,77,72
0,73,74
1,86,32
0,95,77
1,39,4
1,93,36
0,82,83
1,22,20
1,72,26
1,34,11
0,64,69
1,23,24
1,7,15
1,20,23
1,48,46
1,32,29
0,80,76
0,89,79
0,92,75
1,47,18
1,48,25
0,43,74
1,23,29
1,51,12
0,82,64
1,55,41
1,15,5
1,56,20
0,62,76
1,20,23
1,19,39
0,73,72
1,43,12
1,97,33
1,56,21
1,1,23
1,32,18
1,14,27
1,18,33
1,52,43
0,78,62
1,36,31
1,57,45
0,82,70
1,12,14
0,68,82
1,9,24
1,38,33
0,88,69
1,19,24
0,93,73
0,65,79
0,60,62
1,60,37
1,58,38
1,71,40
1,68,42
0,76,73
0,97,81
1,84,23
1,66,28
1,80,31
1,86,37
1,27,39
0,50,84
1,68,39
0,53,78
0,95,81
0,68,89
1,54,23
0,84,80
1,2,5
1,29,18
1,97,20
1,66,12
1,56,29
1,9,26
1,30,30
1,34,39
1,11,22
1,92,36
1,1,18
1,17,23
1,77,27
0,79,73
1,30,27
1,55,2
0,73,77
0,87,68
1,51,49
1,24,24
1,6,20
1,46,29
0,37,70
1,60,45
0,81,84
1,79,37
1,30,37
0,63,78
1,61,27
0,93,74
1,64,34
0,81,74
1,40,31
0,46,70
1,11,31
1,42,37
0,85,77
1,1,23
1,25,27
0,59,69
1,84,33
1,45,30
0,76,81
1,78,18
0,85,65
1,7,0
1,94,35
1,61,22
0,54,72
0,70,88
1,91,20
1,52,34
1,13,24
1,63,45
0,92,64
1,59,46
1,37,22
1,93,24
1,73,32
1,44,20
1,36,22
1,78,7
1,45,39
1,59,42
0,58,76
0,58,74
1,2,8
1,45,9
0,72,85
0,60,79
0,85,77
1,52,35
1,94,47
0,74,67
1,76,31
1,82,16
0,95,86
0,72,66
1,28,5
0,84,77
0,56,68
1,65,11
1,62,19
1,36,11
0,79,77
0,69,80
1,52,19
1,17,12
0,94,79
1,53,38
0,67,83
1,38,25
1,11,2
1,29,43
0,62,74
0,71,79
1,42,24
0,96,78
1,11,20
0,86,75
0,94,78
0,52,68
1,70,27
0,74,73
0,82,70
0,64,77
1,21,1
1,25,11
1,85,36
0,67,80
1,54,30
0,80,73
1,82,40
1,6,3
1,60,15
1,68,6
1,99,27
1,53,39
1,23,30
1,16,11
1,36,22
0,77,78
1,75,26
1,41,11
1,39,17
0,74,67
0,63,76
1,8,0
0,39,64
0,81,83
1,23,29
0,75,71
1,22,24
0,66,82
1,31,4
0,79,74
0,84,67
1,50,38
1,59,40
1,31,19
1,62,12
0,98,74
1,44,35
1,62,35
1,98,39
0,44,70
1,55,28
0,54,83
1,66,42
0,63,73
0,57,70
1,93,21
1,38,34
1,31,19
1,87,41
1,37,6
1,62,44
0,88,80
0,79,76
1,96,32
1,15,23
1,54,33
1,10,12
1,32,19
0,69,77
0,54,80
0,87,89
1,43,27
1,11,3
1,53,6
1,58,11
1,37,13
1,51,34
0,80,59
0,69,81
1,63,25
1,34,29
1,2,18
1,82,39
1,51,24
0,77,80
1,45,9
0,69,77
0,69,61
1,78,33
1,63,31
0,69,87
1,9,10
0,66,82
0,62,76
0,84,69
1,69,25
1,86,45
0,80,67
0,59,73
1,71,39
1,63,15
1,78,64
0,82,61
0,62,74
1,97,21
0,98,93
1,55,20
0,69,63
0,69,80
0,88,72
1,63,30
1,24,22
0,55,75
1,71,1
1,62,21
0,80,81
0,81,70
0,55,79
0,94,82
1,83,39
1,23,23
1,42,14
0,72,75
1,8,15
1,62,13
1,26,25
0,94,70
1,59,24
1,12,17
1,38,6
1,60,33
1,9,26
1,36,29
1,8,27
1,58,19
1,78,23
0,91,71
1,58,39
0,77,86
1,88,14
0,55,83
0,95,71
0,44,81
0,78,86
1,47,11
1,72,35
1,46,34
1,37,22
0,85,77
1,87,14
0,72,83
0,88,72
1,1,18
1,98,38
1,39,39
1,75,49
1,2,16
0,60,88
1,30,25
1,8,29
0,71,78
0,87,84
1,63,6
0,97,95
1,67,37
1,73,35
0,73,85
0,58,75
0,80,78
1,27,14
0,84,87
1,78,29
0,56,78
0,54,77
0,79,73
0,78,78
1,78,12
1,55,24
1,30,17
1,25,26
1,77,36
1,92,27
1,31,20
1,43,41
1,31,6
1,28,40
1,55,21
0,68,83
0,64,89
0,72,75
1,73,3
0,73,75
0,60,84
1,23,23
0,71,85
0,58,76
1,77,25
1,37,33
1,66,14
0,77,83
1,30,35
0,86,75
0,53,84
0,85,92
0,78,70
1,51,23
1,63,23
0,59,69
0,99,74
1,29,10
0,80,68
0,71,70
1,55,27
1,77,14
1,50,42
1,73,42
1,20,35
0,78,71
1,70,33
1,78,26
1,39,28
0,98,75
1,41,27
1,37,51
1,72,41
0,87,75
0,68,67
0,69,69
0,79,85
1,88,18
1,71,31
0,76,80
0,53,77
1,44,26
0,94,85
1,66,31
1,23,17
1,0,6
1,28,16
0,72,72
0,74,84
1,34,21
0,62,79
0,85,81
0,85,75
0,98,86
1,16,22
1,29,38
1,66,40
0,59,76
1,77,45
0,88,79
1,49,59
0,84,76
1,55,31
1,31,11
1,53,24
1,5,17
0,57,73
1,81,39
0,31,74
1,34,17
1,36,15
1,39,47
0,71,63
0,62,77
0,67,68
1,13,29
1,65,20
0,35,75
1,77,24
1,68,23
1,56,25
1,84,46
0,84,91
0,75,69
1,73,26
1,30,30
1,47,24
1,79,32
0,82,79
0,93,84
0,64,82
0,80,84
0,74,73
1,54,40
0,56,74
1,55,18
1,52,47
1,30,6
1,14,12
0,72,81
1,63,21
1,45,31
1,44,28
0,86,78
1,79,26
1,42,7
0,54,87
1,54,24
1,80,35
0,59,68
0,87,65
1,47,39
1,51,35
0,77,77
0,85,81
0,71,79
1,82,30
0,79,77
1,40,34
0,64,75
1,59,32
1,36,45
1,46,18
0,93,75
1,19,1
0,80,75
0,45,73
1,13,21
0,83,71
0,50,79
0,87,61
1,44,32
1,46,11
1,44,45
1,30,8
1,87,28
0,61,67
1,61,35
0,59,86
0,85,91
1,42,30
0,93,77
0,63,84
0,69,74
1,76,45
1,48,13
0,73,79
1,50,20
0,68,75
0,47,72
1,32,10
1,63,43
0,76,88
1,28,25
0,98,70
0,75,76
0,82,83
0,89,70
1,13,18
1,42,33
0,40,71
0,82,77
0,75,75
1,91,25
1,36,7
0,90,67
0,49,84
0,96,82
0,92,73
1,91,38
1,49,33
0,44,79
1,60,26
1,30,18
1,76,38
0,54,79
1,87,23
0,96,61
0,61,81
1,78,21
1,75,41
1,12,4
0,76,75
0,94,74
1,46,28
1,52,19
1,79,34
1,5,10
1,58,18
0,74,71
1,47,8
1,58,12
1,35,11
0,91,78
1,88,37
1,92,22
1,60,37
0,58,81
0,58,80
0,70,68
1,55,39
1,12,18
1,85,31
0,74,81
1,22,24
0,93,68
1,68,38
0,68,69
1,37,20
0,54,80
1,10,12
1,68,31
0,97,78
1,88,16
1,12,27
1,47,1
1,67,23
1,39,44
1,43,24
1,39,14
0,90,79
1,47,35
1,62,25
1,24,15
1,44,34
1,19,13
1,49,33
1,27,16
1,32,32
1,40,38
1,56,28
1,55,25
0,83,77
1,18,24
1,59,38
0,60,76
0,69,74
0,63,86
0,83,73
1,75,34
0,76,92
0,71,77
0,57,76
1,79,22
0,83,73
1,73,37
1,90,22
0,50,66
1,52,3
1,26,25
1,88,2
1,43,46
0,90,70
0,98,76
1,14,14
0,66,88
1,38,24
1,10,4
0,96,89
1,23,0
0,64,70
0,69,73
1,42,22
1,44,50
1,54,26
1,25,16
0,79,84
0,64,74
1,88,34
0,56,79
0,97,71
1,57,23
1,1,20
1,8,14
1,22,28
1,53,24
1,64,32
1,29,32
1,77,5
1,55,30
1,14,42
1,65,24
1,92,29
1,26,11
1,61,39
1,54,47
1,83,19
0,73,68
0,75,79
1,57,52
0,93,76
1,77,45
1,71,36
1,4,5
0,97,85
1,96,34
0,96,78
1,87,31
0,73,68
1,35,15
1,79,36
1,17,18
1,19,24
0,95,75
0,62,74
1,67,27
1,52,34
0,76,75
1,50,25
0,94,79
1,74,37
1,30,22
1,33,22
0,63,71
1,83,27
0,70,80
1,5,8
0,77,64
1,81,30
0,69,76
1,74,17
1,37,28
1,61,21
0,71,80
1,39,39
0,85,88
0,95,75
0,59,67
0,54,71
1,5,25
1,27,41
1,54,40
1,63,36
1,69,37
1,67,21
1,71,30
1,29,26
1,62,38
0,97,86
0,98,78
1,85,26
1,14,12
1,89,22
1,55,22
0,92,69
0,53,80
1,66,25
0,73,81
1,64,36
1,47,47
0,76,81
0,74,73
1,61,23
1,53,32
1,24,26
1,80,34
1,11,16
1,57,28
0,81,73
1,0,20
1,10,13
1,69,27
0,94,70
0,84,70
0,61,69
1,88,1
1,4,12
1,22,5
1,76,8
0,80,78
1,19,36
1,92,24
0,62,83
1,88,38
1,8,27
0,84,76
0,80,68
1,76,23
0,79,78
0,79,83
1,45,31
1,74,37
1,40,31
0,64,77
1,2,25
0,95,96
0,85,79
0,97,79
1,54,28
1,43,16
0,62,68
1,96,42
1,30,11
0,88,68
0,98,78
0,70,81
0,98,79
1,65,35
1,39,20
0,98,80
1,41,7
1,53,36
0,92,66
0,87,73
0,81,79
0,90,73
1,24,19
0,99,72
1,66,37
1,26,4
1,64,0
1,24,20
1,0,26
0,91,77
0,80,69
0,75,76
0,49,67
0,80,79
1,68,28
1,44,20
1,36,21
0,91,79
1,80,30
1,1,19
1,41,29
1,28,22
1,66,11
0,97,92
1,30,24
1,33,28
0,86,86
1,11,17
0,78,74
1,59,26
1,81,33
1,80,33
0,64,78
0,76,75
0,93,76
0,71,87
1,78,35
1,34,26
1,47,28
1,36,28
0,78,79
0,78,82
0,72,74
1,79,33
0,95,82
1,22,9
1,72,44
0,76,80
1,50,38
0,65,72
0,69,67
0,81,87
0,57,68
0,58,68
0,62,70
1,35,32
0,85,76
1,70,19
1,67,35
0,86,81
1,40,25
0,91,74
0,74,82
1,37,17
1,33,29
0,66,85
0,76,80
1,73,31
0,87,78
0,87,81
1,8,12
1,99,42
0,80,78
1,27,17
1,4,13
0,97,83
1,59,19
1,28,33
1,6,21
1,38,32
1,62,26
0,59,89
1,12,18
1,7,16
1,53,20
0,86,76
0,69,68
1,48,18
0,79,84
0,65,82
1,29,27
0,72,72
0,62,86
1,31,36
1,71,36
1,50,40
0,99,73
1,85,16
1,26,26
1,59,42
1,91,29
0,62,64
1,71,15
0,80,76
1,56,36
1,34,45
0,57,78
1,76,27
0,76,77
1,70,30
1,76,27
1,25,32
1,21,14
1,38,30
1,63,27
0,97,77
0,74,71
1,32,19
1,79,24
0,79,67
1,73,11
1,42,24
1,58,23
0,60,73
0,96,77
0,69,78
1,10,18
0,88,80
1,17,13
1,68,41
0,41,70
1,27,32
1,67,22
0,66,76
1,41,26
0,92,83
1,60,38
0,94,78
1,23,23
1,77,27
0,52,71
1,54,10
1,43,5
1,9,9
1,19,13
1,59,33
1,33,36
0,72,79
1,48,24
0,66,73
1,37,44
1,28,22
1,31,21
1,30,28
0,72,76
1,37,43
1,1,16
1,62,54
1,70,45
0,80,87
0,78,81
0,51,60
0,75,68
1,34,18
1,40,46
1,85,43
1,26,21
1,22,22
0,63,84
0,85,73
1,57,39
0,40,63
0,86,98
0,71,73
1,45,24
0,66,68
1,84,28
1,97,40
1,37,4
0,60,72
1,75,33
1,89,28
0,78,74
0,79,79
1,72,36
1,30,28
1,64,15
0,51,67
1,68,16
1,84,33
0,69,76
1,16,20
1,32,15
1,25,18
1,67,38
1,18,35
1,26,40
1,83,46
1,17,20
1,55,17
1,31,20
0,96,82
1,24,31
1,72,49
0,68,81
1,72,23
1,70,72
1,35,15
1,31,18
1,62,41
1,80,23
1,51,17
0,71,64
1,34,30
0,86,71
0,83,73
1,91,9
1,73,36
1,64,33
1,57,40
0,69,81
1,56,36
1,7,17
0,91,67
1,68,28
0,73,72
1,81,18
1,37,28
0,78,69
1,87,43
1,25,3
0,73,88
1,19,27
1,72,35
0,72,88
1,64,11
0,57,82
1,74,21
0,98,67
1,16,15
1,60,40
1,66,19
1,21,1
1,10,14
0,81,67
0,78,80
1,5,20
1,64,38
1,97,31
0,58,70
0,87,81
1,71,29
0,76,85
0,82,72
1,78,54
1,93,28
0,84,89
0,81,75
1,78,31
1,30,26
0,90,65
1,87,57
0,66,71
1,53,31
1,14,25
1,53,28
1,92,27
1,53,27
0,56,71
0,70,94
1,53,12
1,18,10
1,34,30
1,89,33
1,45,26
1,60,24
1,21,29
1,89,14
1,69,22
1,21,28
0,61,93
1,51,33
1,51,24
0,84,78
1,18,19
1,41,41
1,39,26
1,23,31
1,65,18
0,98,84
0,88,81
1,25,31
0,68,69
0,67,80
1,28,11
0,57,63
1,77,23
0,52,68
1,64,31
1,85,31
1,16,13
0,77,87
0,71,75
1,51,20
1,85,43
1,0,17
0,64,64
0,88,81
1,33,9
1,58,26
0,81,88
1,19,16
1,54,21
0,92,75
0,73,72
0,88,73
0,97,88
1,48,51
0,73,76
1,81,6
0,99,85
0,89,80
1,6,17
1,59,15
1,0,21
0,59,83
0,92,81
0,83,61
1,67,29
1,21,9
0,74,69
0,78,68
1,75,32
1,66,40
1,54,34
0,72,83
1,88,35
0,79,76
1,82,17
1,20,20
0,58,62
0,69,81
1,6,11
1,44,28
0,60,93
1,7,32
1,76,20
1,79,29
1,55,40
1,77,42
0,90,73
0,79,82
0,93,79
1,1,20
1,46,37
1,77,22
0,69,70
1,39,41
1,11,18
0,66,85
1,4,26
1,89,43
1,36,15
0,87,75
1,42,21
1,56,30
1,44,18
0,54,74
0,64,75
1,35,32
1,45,23
0,79,73
1,50,22
1,63,21
0,67,80
0,64,76
1,80,42
0,90,73
0,78,80
1,53,22
1,85,17
1,36,14
0,69,74
1,45,21
1,57,31
1,25,6
1,71,35
0,94,65
0,93,72
0,81,70
0,65,80
1,19,14
1,20,6
1,90,17
0,64,68
1,42,14
1,7,19
0,73,81
1,44,28
1,46,34
1,55,37
1,37,26
1,32,23
0,75,90
1,58,28
1,56,17
1,13,33
0,79,79
1,49,42
1,39,27
1,37,26
1,67,25
0,91,67
0,86,82
0,54,83
0,62,74
0,50,68
1,21,12
1,23,15
1,29,20
1,67,40
0,61,76
1,84,33
1,77,24
1,72,31
0,78,82
1,19,19
1,79,31
1,53,36
1,38,12
1,59,12
0,82,87
1,20,9
1,60,33
1,7,18
1,66,34
1,52,36
0,93,81
1,0,5
1,55,42
0,99,81
1,8,8
1,74,3
0,89,82
1,55,42
0,83,84
1,54,20
0,57,90
1,76,27
1,54,37
1,52,28
0,74,87
0,86,61
1,34,6
1,57,40
0,74,64
1,71,14
1,59,19
0,53,60
1,95,49
1,27,13
1,64,53
0,78,92
1,95,27
1,97,15
1,72,28
0,83,77
0,66,73
1,45,39
1,56,8
1,10,23
1,18,24
1,95,31
1,41,42
1,62,25
1,55,20
1,68,20
1,59,51
0,88,75
0,88,72
0,72,66
0,77,73
1,30,21
1,18,9
1,58,34
1,73,35
0,79,77
1,96,51
1,27,8
1,59,45
0,91,75
0,68,81
0,84,64
0,95,73
1,7,32
0,89,69
1,57,50
1,53,15
1,29,30
1,47,11
1,29,24
0,54,71
1,66,40
1,35,6
1,76,44
0,85,80
1,21,29
0,76,82
1,33,12
1,94,21
1,34,30
0,95,68
0,91,73
0,98,80
1,81,36
1,88,25
1,46,23
0,76,87
1,55,40
0,52,68
0,84,91
0,76,75
1,33,16
1,75,40
1,12,31
0,53,66
0,85,76
0,77,78
1,21,31
1,78,18
1,67,45
1,36,33
0,95,88
0,66,73
1,3,10
1,39,24
1,63,38
0,51,74
1,59,20
1,44,36
1,15,8
0,86,87
1,60,20
0,83,76
1,75,7
0,86,76
1,19,21
1,50,26
0,88,81
1,36,17
1,76,37
0,66,79
1,27,20
0,64,70
0,54,80
0,79,67
0,66,80
0,98,74
0,66,74
1,63,33
0,79,74
0,71,72
0,57,81
0,53,69
0,67,77
0,59,84
1,36,27
0,59,80
1,59,22
1,12,5
1,65,29
0,79,84
0,92,83
1,77,46
0,92,77
1,49,48
1,84,18
0,79,76
1,59,38
0,72,93
1,6,17
1,45,26
1,45,20
0,68,81
1,53,42
0,69,70
0,65,63
1,55,14
1,99,25
0,89,80
1,72,25
0,68,80
1,89,16
0,87,80
0,44,61
0,91,70
1,38,15
0,78,75
0,91,76
0,93,67
1,94,28
1,46,19
0,99,87
0,96,84
1,41,24
1,70,37
1,87,26
1,16,9
1,97,27
1,54,33
0,75,68
0,80,64
1,34,29
1,48,20
0,81,56
1,17,0
1,44,35
1,73,12
1,40,34
1,41,9
1,39,13
0,74,63
0,71,74
1,26,33
1,83,20
1,90,36
0,96,78
1,23,47
1,55,22
1,54,27
1,38,40
1,26,0
1,34,33
0,83,79
0,79,69
1,90,5
0,84,72
1,99,20
1,80,56
0,86,79
1,44,22
0,70,79
1,73,28
0,67,72
1,3,3
1,12,23
1,26,24
1,13,29
0,70,83
1,28,17
0,69,76
1,61,26
1,53,67
0,64,87
1,46,11
0,86,73
1,22,27
0,72,78
0,68,86
0,76,67
0,80,59
1,23,8
1,43,12
0,91,66
1,58,28
0,73,82
0,89,75
1,18,13
0,95,64
1,35,25
1,47,23
1,64,17
1,47,34
0,58,73
1,31,37
1,74,8
1,39,33
1,53,36
1,92,19
0,76,84
0,67,88
0,65,64
1,49,22
1,99,33
0,96,77
1,50,22
0,84,77
1,43,17
0,96,74
1,48,36
0,83,84
1,69,26
0,53,81
1,53,17
1,51,35
1,59,37
1,56,20
1,16,22
1,14,23
1,60,22
1,2,12
0,95,71
0,97,68
1,94,10
0,57,77
1,92,18
0,68,72
0,80,80
1,20,13
0,92,82
1,59,17
1,39,17
1,55,29
1,12,20
1,82,44
0,38,69
1,70,21
1,52,25
0,95,67
0,65,80
1,14,13
1,37,35
1,69,18
1,90,34
1,56,20
0,87,63
1,31,28
1,62,12
0,77,75
1,28,21
0,54,57
1,34,41
1,27,32
1,90,31
1,62,30
1,45,21
0,98,79
0,87,75
1,48,9
0,96,79
1,63,18
0,70,79
0,77,77
0,41,86
0,79,85
0,96,63
1,54,32
1,73,31
1,84,40
1,81,31
1,34,29
1,54,32
1,74,39
0,75,75
0,77,62
0,82,64
1,69,8
1,88,19
1,97,9
0,84,85
0,96,68
1,46,2
1,27,21
0,59,71
1,45,5
0,73,68
0,50,73
0,97,82
0,56,78
0,79,82
1,11,16
0,42,78
0,74,83
0,77,64
0,84,64
1,4,21
0,95,74
1,11,2
1,11,14
1,55,39
1,45,8
0,93,66
1,59,18
0,88,91
1,99,38
0,81,69
1,47,13
1,55,42
1,34,7
0,95,74
0,85,83
0,75,73
1,46,22
0,72,75
1,54,13
0,82,72
1,22,20
1,74,25
1,3,15
0,72,75
0,88,76
0,54,72
1,77,44
1,47,13
1,50,37
0,87,88
1,53,43
1,59,29
1,97,21
1,96,37
0,99,86
1,0,7
0,98,76
1,26,11
1,16,12
1,28,34
1,85,31
1,92,25
0,95,84
1,55,35
0,88,81
1,43,26
1,52,51
1,0,15
1,23,18
1,52,20
1,82,38
1,39,39
1,73,14
1,56,38
1,15,14
1,35,26
1,40,39
1,44,35
1,24,19
1,81,24
0,84,83
0,67,66
1,69,22
1,62,28
0,76,74
1,6,24
1,46,33
1,69,39
0,58,68
0,58,84
1,0,16
0,89,80
0,88,87
0,91,71
1,69,24
0,80,72
1,75,28
1,26,21
0,70,78
1,22,34
1,46,33
1,24,1
0,88,69
1,99,32
1,84,3
0,78,73
1,19,15
1,40,25
1,90,27
1,49,21
1,98,22
1,54,17
0,64,81
1,44,26
0,58,76
0,60,73
0,81,85
0,89,75
1,94,34
1,61,12
1,8,23
1,18,25
0,48,64
1,32,23
